Date,Open,High,Low,Close,Volume
20221103 070100,89.22,89.24,89.2,89.21,103
20221103 070200,89.23,89.24,89.14,89.14,62
20221103 070300,89.15,89.18,89.15,89.17,39
20221103 070400,89.15,89.15,89.06,89.11,122
20221103 070500,89.11,89.12,89.07,89.09,27
20221103 070600,89.06,89.11,88.96,89.11,432
20221103 070700,89.11,89.13,89.1,89.13,85
20221103 070800,89.13,89.16,89.11,89.13,59
20221103 070900,89.12,89.13,89.1,89.13,48
20221103 071000,89.14,89.15,89.09,89.09,44
20221103 071100,89.09,89.12,89.07,89.12,44
20221103 071200,89.11,89.2,89.11,89.19,76
20221103 071300,89.2,89.2,89.11,89.15,84
20221103 071400,89.15,89.16,89.1,89.11,36
20221103 071500,89.12,89.13,89.09,89.09,29
20221103 071600,89.1,89.12,89.05,89.06,60
20221103 071700,89.07,89.1,89.06,89.09,32
20221103 071800,89.07,89.09,89.05,89.05,31
20221103 071900,89.06,89.06,89.01,89.04,59
20221103 072000,89.04,89.11,89.04,89.09,54
20221103 072100,89.08,89.08,89.03,89.05,33
20221103 072200,89.05,89.06,89.04,89.04,31
20221103 072300,89.03,89.03,88.96,88.99,75
20221103 072400,88.97,88.98,88.85,88.87,348
20221103 072500,88.89,88.92,88.88,88.9,104
20221103 072600,88.9,88.91,88.82,88.86,176
20221103 072700,88.87,88.87,88.78,88.82,220
20221103 072800,88.83,88.86,88.81,88.81,64
20221103 072900,88.81,88.83,88.79,88.79,87
20221103 073000,88.8,88.89,88.8,88.87,99
20221103 073100,88.87,88.89,88.85,88.89,101
20221103 073200,88.89,88.95,88.89,88.92,104
20221103 073300,88.92,88.95,88.78,88.79,136
20221103 073400,88.78,88.78,88.66,88.72,480
20221103 073500,88.71,88.73,88.69,88.73,94
20221103 073600,88.72,88.83,88.71,88.82,106
20221103 073700,88.82,88.84,88.79,88.82,107
20221103 073800,88.81,88.88,88.8,88.82,196
20221103 073900,88.81,88.83,88.79,88.83,82
20221103 074000,88.83,88.86,88.82,88.83,48
20221103 074100,88.83,88.88,88.83,88.86,95
20221103 074200,88.86,88.89,88.83,88.88,54
20221103 074300,88.88,88.92,88.87,88.92,64
20221103 074400,88.9,88.98,88.89,88.98,186
20221103 074500,88.99,89.04,88.99,89.01,146
20221103 074600,89,89.02,88.95,89,100
20221103 074700,89.01,89.01,88.93,88.93,57
20221103 074800,88.93,89.02,88.93,88.98,89
20221103 074900,88.99,89,88.96,89,27
20221103 075000,88.96,88.98,88.95,88.97,6
20221103 075100,88.99,89.02,88.99,88.99,48
20221103 075200,88.99,88.99,88.95,88.98,52
20221103 075300,88.99,88.99,88.93,88.94,48
20221103 075400,88.94,88.95,88.89,88.95,68
20221103 075500,88.98,89.07,88.97,89.06,105
20221103 075600,89.07,89.18,89.06,89.15,204
20221103 075700,89.14,89.15,89.08,89.08,110
20221103 075800,89.08,89.14,89.08,89.14,57
20221103 075900,89.13,89.15,89.12,89.14,102
20221103 080000,89.14,89.18,89.11,89.17,73
20221103 080100,89.17,89.18,88.99,89.01,226
20221103 080200,88.99,88.99,88.83,88.85,235
20221103 080300,88.85,88.86,88.75,88.81,192
20221103 080400,88.8,88.85,88.77,88.83,141
20221103 080500,88.83,88.9,88.83,88.86,137
20221103 080600,88.86,88.87,88.74,88.81,150
20221103 080700,88.81,88.85,88.78,88.84,95
20221103 080800,88.85,88.9,88.84,88.87,68
20221103 080900,88.87,88.99,88.87,88.95,99
20221103 081000,88.96,89.09,88.95,89.05,158
20221103 081100,89.04,89.09,89,89.04,161
20221103 081200,89.04,89.07,89.03,89.07,39
20221103 081300,89.06,89.08,89.04,89.04,42
20221103 081400,89.04,89.06,89.02,89.05,41
20221103 081500,89.05,89.13,89.05,89.06,168
20221103 081600,89.07,89.08,88.86,88.88,205
20221103 081700,88.9,88.95,88.87,88.93,92
20221103 081800,88.92,88.92,88.85,88.9,140
20221103 081900,88.89,88.92,88.85,88.87,66
20221103 082000,88.87,88.94,88.87,88.92,78
20221103 082100,88.91,88.93,88.89,88.9,79
20221103 082200,88.9,88.91,88.85,88.85,91
20221103 082300,88.84,88.88,88.83,88.84,86
20221103 082400,88.85,88.85,88.82,88.83,61
20221103 082500,88.84,88.89,88.84,88.87,86
20221103 082600,88.87,88.91,88.83,88.83,87
20221103 082700,88.82,88.88,88.69,88.69,249
20221103 082800,88.71,88.77,88.58,88.6,621
20221103 082900,88.59,88.65,88.5,88.61,531
20221103 083000,88.62,88.74,88.57,88.57,849
20221103 083100,88.58,88.68,88.57,88.66,380
20221103 083200,88.66,88.66,88.61,88.65,234
20221103 083300,88.65,88.7,88.63,88.64,302
20221103 083400,88.65,88.69,88.61,88.65,363
20221103 083500,88.66,88.7,88.61,88.67,185
20221103 083600,88.66,88.71,88.62,88.65,122
20221103 083700,88.65,88.65,88.6,88.61,126
20221103 083800,88.61,88.64,88.52,88.52,146
20221103 083900,88.52,88.52,88.45,88.47,324
20221103 084000,88.47,88.57,88.45,88.57,118
20221103 084100,88.56,88.57,88.48,88.49,115
20221103 084200,88.49,88.5,88.44,88.49,104
20221103 084300,88.5,88.51,88.47,88.49,59
20221103 084400,88.48,88.57,88.47,88.55,93
20221103 084500,88.53,88.55,88.48,88.48,72
20221103 084600,88.48,88.53,88.47,88.51,66
20221103 084700,88.51,88.53,88.47,88.47,120
20221103 084800,88.48,88.49,88.46,88.47,110
20221103 084900,88.48,88.51,88.46,88.49,60
20221103 085000,88.48,88.48,88.42,88.45,163
20221103 085100,88.45,88.52,88.45,88.5,104
20221103 085200,88.51,88.55,88.49,88.51,128
20221103 085300,88.52,88.52,88.45,88.46,58
20221103 085400,88.45,88.48,88.44,88.44,78
20221103 085500,88.46,88.47,88.42,88.45,42
20221103 085600,88.43,88.46,88.43,88.44,91
20221103 085700,88.44,88.56,88.42,88.56,115
20221103 085800,88.56,88.58,88.51,88.52,135
20221103 085900,88.53,88.55,88.52,88.54,84
20221103 090000,88.53,88.7,88.53,88.68,301
20221103 090100,88.69,88.71,88.57,88.61,254
20221103 090200,88.59,88.62,88.54,88.59,118
20221103 090300,88.58,88.79,88.58,88.66,240
20221103 090400,88.66,88.73,88.65,88.69,130
20221103 090500,88.7,88.7,88.59,88.62,239
20221103 090600,88.6,88.68,88.6,88.65,69
20221103 090700,88.66,88.69,88.62,88.66,69
20221103 090800,88.65,88.69,88.62,88.63,32
20221103 090900,88.62,88.65,88.59,88.64,98
20221103 091000,88.64,88.69,88.63,88.63,109
20221103 091100,88.61,88.61,88.54,88.58,100
20221103 091200,88.58,88.58,88.52,88.53,53
20221103 091300,88.53,88.53,88.49,88.53,95
20221103 091400,88.53,88.58,88.53,88.54,67
20221103 091500,88.55,88.55,88.52,88.53,37
20221103 091600,88.53,88.53,88.47,88.51,128
20221103 091700,88.51,88.52,88.48,88.52,72
20221103 091800,88.52,88.52,88.49,88.52,48
20221103 091900,88.52,88.53,88.47,88.5,56
20221103 092000,88.49,88.55,88.47,88.55,72
20221103 092100,88.54,88.55,88.52,88.53,52
20221103 092200,88.51,88.55,88.5,88.54,48
20221103 092300,88.55,88.67,88.54,88.66,212
20221103 092400,88.65,88.68,88.62,88.67,75
20221103 092500,88.66,88.66,88.61,88.62,23
20221103 092600,88.61,88.61,88.55,88.57,66
20221103 092700,88.57,88.59,88.56,88.57,32
20221103 092800,88.57,88.58,88.53,88.56,55
20221103 092900,88.56,88.59,88.54,88.59,56
20221103 093000,88.57,88.66,88.53,88.66,118
20221103 093100,88.67,88.69,88.56,88.56,108
20221103 093200,88.57,88.59,88.56,88.57,37
20221103 093300,88.57,88.63,88.57,88.59,67
20221103 093400,88.59,88.64,88.58,88.63,28
20221103 093500,88.63,88.74,88.62,88.74,147
20221103 093600,88.74,88.77,88.71,88.74,139
20221103 093700,88.73,88.89,88.72,88.86,322
20221103 093800,88.88,88.89,88.78,88.79,178
20221103 093900,88.78,88.84,88.76,88.79,42
20221103 094000,88.8,88.82,88.76,88.8,46
20221103 094100,88.78,88.85,88.75,88.79,138
20221103 094200,88.78,88.86,88.77,88.82,81
20221103 094300,88.82,88.82,88.72,88.8,166
20221103 094400,88.79,88.79,88.75,88.78,29
20221103 094500,88.79,88.79,88.72,88.73,43
20221103 094600,88.73,88.73,88.69,88.71,82
20221103 094700,88.7,88.7,88.65,88.66,57
20221103 094800,88.66,88.73,88.63,88.64,85
20221103 094900,88.65,88.66,88.49,88.52,302
