Date,Open,High,Low,Close,Volume
20221120 221500,106.845,106.845,106.845,106.845,6
20221120 230100,106.91,106.91,106.8,106.8,85
20221120 230200,106.8,106.835,106.8,106.835,10
20221120 230300,106.835,106.84,106.82,106.84,8
20221120 230400,106.845,106.845,106.845,106.845,1
20221120 230500,106.835,106.835,106.835,106.835,1
20221120 230600,106.83,106.83,106.83,106.83,3
20221120 230700,106.83,106.83,106.82,106.82,4
20221120 230900,106.82,106.825,106.82,106.825,7
20221120 231000,106.825,106.825,106.825,106.825,4
20221120 231100,106.83,106.83,106.83,106.83,5
20221120 231200,106.83,106.83,106.83,106.83,3
20221120 231400,106.815,106.815,106.815,106.815,1
20221120 232100,106.845,106.845,106.845,106.845,1
20221120 232400,106.83,106.845,106.83,106.845,2
20221120 232600,106.84,106.84,106.84,106.84,1
20221120 232700,106.835,106.835,106.835,106.835,1
20221120 232800,106.835,106.845,106.835,106.845,2
20221120 233100,106.855,106.855,106.855,106.855,1
20221120 233400,106.855,106.855,106.855,106.855,1
20221120 233600,106.845,106.845,106.845,106.845,1
20221120 233700,106.85,106.85,106.84,106.84,2
20221120 233800,106.84,106.84,106.84,106.84,1
20221120 233900,106.845,106.845,106.845,106.845,3
20221120 234300,106.83,106.83,106.83,106.83,1
20221120 234600,106.815,106.815,106.8,106.8,11
20221120 234800,106.8,106.8,106.795,106.795,3
20221120 234900,106.8,106.8,106.8,106.8,3
20221120 235000,106.8,106.8,106.795,106.795,3
20221120 235200,106.79,106.79,106.79,106.79,1
20221120 235300,106.78,106.795,106.78,106.795,2
20221120 235500,106.8,106.8,106.8,106.8,1
20221120 235600,106.81,106.81,106.81,106.81,1
20221120 235700,106.8,106.8,106.8,106.8,1
20221120 235800,106.81,106.82,106.805,106.805,18
20221121 000100,106.81,106.81,106.79,106.795,6
20221121 000300,106.82,106.82,106.82,106.82,1
20221121 000400,106.815,106.815,106.8,106.8,4
20221121 000500,106.805,106.805,106.805,106.805,1
20221121 000700,106.82,106.82,106.82,106.82,1
20221121 000800,106.845,106.855,106.845,106.855,4
20221121 000900,106.84,106.84,106.84,106.84,1
20221121 001000,106.87,106.875,106.87,106.87,3
20221121 001200,106.865,106.865,106.865,106.865,2
20221121 001300,106.87,106.87,106.87,106.87,1
20221121 001500,106.87,106.87,106.87,106.87,1
20221121 001600,106.88,106.88,106.865,106.865,5
20221121 001700,106.875,106.875,106.875,106.875,41
20221121 001800,106.875,106.88,106.875,106.88,75
20221121 001900,106.88,106.88,106.88,106.88,25
20221121 002000,106.885,106.885,106.88,106.88,7
20221121 002100,106.88,106.88,106.88,106.88,37
20221121 002200,106.885,106.885,106.88,106.88,2
20221121 002300,106.885,106.89,106.885,106.89,7
20221121 002400,106.885,106.885,106.885,106.885,10
20221121 002500,106.885,106.885,106.88,106.88,24
20221121 002600,106.885,106.89,106.88,106.885,14
20221121 002700,106.885,106.885,106.885,106.885,4
20221121 002800,106.89,106.89,106.89,106.89,2
20221121 002900,106.89,106.89,106.885,106.885,4
20221121 003000,106.89,106.9,106.89,106.9,9
20221121 003100,106.91,106.915,106.91,106.915,84
20221121 003200,106.915,106.915,106.915,106.915,9
20221121 003300,106.91,106.935,106.91,106.935,81
20221121 003400,106.93,106.93,106.92,106.92,13
20221121 003500,106.92,106.93,106.92,106.925,15
20221121 003600,106.93,106.95,106.93,106.95,18
20221121 003700,106.95,106.955,106.95,106.955,33
20221121 003800,106.95,106.955,106.95,106.955,10
20221121 003900,106.96,106.96,106.96,106.96,4
20221121 004000,106.965,106.99,106.965,106.99,8
20221121 004100,106.985,106.99,106.985,106.99,5
20221121 004200,106.995,106.995,106.995,106.995,1
20221121 004300,106.995,106.995,106.99,106.995,132
20221121 004500,106.955,106.955,106.955,106.955,1
20221121 004600,106.945,106.945,106.945,106.945,1
20221121 004700,106.94,106.94,106.92,106.925,14
20221121 004800,106.925,106.925,106.905,106.905,13
