Date,Open,High,Low,Close,Volume
20221103 070100,20310,20310,20310,20310,4
20221103 072400,20330,20330,20325,20325,150
20221103 072700,20305,20305,20305,20305,2
20221103 072800,20325,20325,20325,20325,1
20221103 073400,20305,20305,20305,20305,8
20221103 073600,20300,20300,20295,20295,2
20221103 073700,20310,20310,20310,20310,2
20221103 073800,20305,20305,20305,20305,5
20221103 074300,20305,20305,20300,20300,5
20221103 074400,20300,20300,20290,20295,37
20221103 074600,20285,20285,20285,20285,1
20221103 075300,20295,20295,20295,20295,5
20221103 075400,20295,20295,20295,20295,2
20221103 075500,20295,20295,20295,20295,4
20221103 080000,20300,20300,20300,20300,2
20221103 080100,20310,20310,20310,20310,1
20221103 080300,20300,20300,20300,20300,8
20221103 081700,20340,20340,20340,20340,3
20221103 082000,20325,20325,20325,20325,1
20221103 082700,20275,20275,20275,20275,2
20221103 083300,20270,20270,20270,20270,17
20221103 083400,20260,20280,20260,20280,2
20221103 084300,20290,20290,20290,20290,1
20221103 084600,20300,20300,20300,20300,10
20221103 084700,20310,20325,20310,20325,10
20221103 085700,20305,20305,20305,20305,2
20221103 090000,20305,20305,20305,20305,5
20221103 090200,20315,20320,20315,20320,5
20221103 090400,20330,20330,20330,20330,40
20221103 102400,20295,20295,20295,20295,1
20221103 102800,20285,20285,20285,20285,1
20221103 103000,20285,20285,20280,20280,3
20221103 104000,20285,20285,20285,20285,1
20221103 105000,20265,20265,20265,20265,1
20221103 110100,20280,20280,20280,20280,2
20221103 110900,20280,20280,20280,20280,1
20221103 111300,20270,20270,20270,20270,2
20221103 111600,20250,20255,20250,20255,10
20221103 111700,20255,20255,20255,20255,5
20221103 111900,20240,20240,20240,20240,10
20221103 112000,20230,20230,20230,20230,35
20221103 112100,20225,20225,20225,20225,2
20221103 112300,20235,20235,20230,20230,4
20221103 112400,20225,20225,20210,20210,46
20221103 112500,20210,20210,20210,20210,6
20221103 113000,20235,20235,20235,20235,1
20221103 113200,20240,20240,20240,20240,2
20221103 113300,20250,20250,20250,20250,19
20221103 113400,20210,20210,20200,20200,5
20221103 113800,20175,20175,20175,20175,14
20221103 113900,20165,20170,20165,20170,10
20221103 114000,20155,20165,20155,20160,18
20221103 114100,20155,20155,20150,20150,2
20221103 114300,20130,20130,20130,20130,4
20221103 114400,20130,20130,20120,20120,3
20221103 114500,20110,20115,20110,20115,8
20221103 114600,20105,20105,20105,20105,1
20221103 114700,20100,20100,20090,20090,29
20221103 114800,20090,20090,20090,20090,2
20221103 114900,20060,20060,20050,20060,60
20221103 115000,20070,20070,20065,20070,22
20221103 115100,20065,20110,20065,20095,50
20221103 115300,20115,20115,20115,20115,1
20221103 115400,20140,20140,20140,20140,7
20221103 115700,20115,20120,20115,20120,8
20221103 120000,20120,20125,20110,20125,7
20221103 120100,20135,20135,20125,20130,31
20221103 120200,20110,20110,20110,20110,11
20221103 120700,20175,20175,20175,20175,2
20221103 120800,20155,20155,20150,20150,4
20221103 120900,20165,20170,20165,20170,10
20221103 121100,20140,20140,20140,20140,1
20221103 121700,20125,20125,20125,20125,2
20221103 122200,20095,20095,20090,20090,5
20221103 122300,20085,20085,20085,20085,1
20221103 122500,20080,20080,20080,20080,2
20221103 122700,20080,20085,20080,20085,16
20221103 122800,20085,20085,20085,20085,1
20221103 122900,20085,20095,20085,20095,39
20221103 123000,20100,20100,20090,20090,4
20221103 123100,20090,20120,20080,20120,50
20221103 123200,20110,20115,20100,20115,46
20221103 123300,20115,20115,20115,20115,31
20221103 123600,20120,20120,20120,20120,5
20221103 123700,20090,20090,20075,20075,3
20221103 123800,20080,20080,20080,20080,5
20221103 124100,20065,20065,20060,20060,59
20221103 124200,20075,20075,20075,20075,4
20221103 124300,20095,20095,20095,20095,1
20221103 124400,20095,20095,20095,20095,2
20221103 124700,20080,20080,20080,20080,2
20221103 124900,20070,20070,20070,20070,2
20221103 125000,20065,20065,20050,20060,12
20221103 125100,20060,20070,20030,20070,28
20221103 125200,20095,20100,20090,20100,47
20221103 125400,20095,20095,20095,20095,5
20221103 125500,20100,20100,20100,20100,2
20221103 125800,20115,20115,20110,20110,2
20221103 130000,20105,20105,20105,20105,2
20221103 130100,20100,20105,20100,20105,3
20221103 130300,20125,20125,20125,20125,1
20221103 130500,20120,20120,20120,20120,1
20221103 130600,20110,20120,20110,20120,43
20221103 130700,20120,20120,20120,20120,2
20221103 131000,20140,20140,20140,20140,3
20221103 131400,20135,20135,20135,20135,41
20221103 131500,20135,20135,20125,20130,38
20221103 131600,20115,20115,20115,20115,35
20221103 131700,20115,20115,20115,20115,11
20221103 131800,20120,20120,20110,20110,5
20221103 132100,20100,20100,20100,20100,1
20221103 132200,20110,20130,20110,20130,23
20221103 132300,20125,20125,20125,20125,3
20221103 132400,20130,20130,20130,20130,3
20221103 132500,20150,20150,20150,20150,1
20221103 132600,20155,20170,20155,20165,130
20221103 132700,20165,20175,20160,20160,24
20221103 132800,20165,20170,20165,20170,11
20221103 132900,20160,20160,20160,20160,4
20221103 133000,20150,20165,20150,20165,14
20221103 133100,20165,20165,20165,20165,30
20221103 133200,20155,20160,20155,20160,22
20221103 133300,20140,20145,20140,20140,18
20221103 133400,20145,20195,20145,20195,113
20221103 133500,20205,20205,20180,20195,35
20221103 133600,20195,20195,20180,20190,45
20221103 133700,20185,20185,20170,20175,27
20221103 133800,20170,20190,20170,20190,12
20221103 133900,20195,20205,20195,20200,34
20221103 134000,20205,20205,20205,20205,12
20221103 134200,20210,20235,20210,20225,82
20221103 134300,20220,20235,20220,20225,52
20221103 134400,20230,20230,20225,20225,5
20221103 134500,20220,20220,20205,20205,16
20221103 134600,20205,20205,20165,20165,43
20221103 134700,20165,20185,20165,20180,23
20221103 135000,20175,20210,20175,20210,16
20221103 135100,20185,20185,20185,20185,1
20221103 135200,20160,20160,20160,20160,1
20221103 135300,20160,20160,20160,20160,13
20221103 135500,20165,20165,20160,20160,11
20221103 135600,20140,20140,20140,20140,33
20221103 135700,20140,20140,20120,20120,2
