DX,MES
106.845,4003.75
106.8,4002.75
106.835,4003.5
106.84,4003.0
106.845,4005.0
106.835,4005.0
106.83,4005.0
106.82,4005.0
106.825,4005.0
106.825,4005.5
106.83,4003.25
106.83,4004.25
106.815,4003.25
106.845,4004.5
106.845,4004.0
106.84,4002.25
106.835,4001.75
106.845,4000.25
106.855,3999.5
106.855,4000.0
106.845,3997.0
106.84,3997.25
106.84,3995.75
106.845,3993.5
106.83,3996.0
106.8,3992.25
106.795,3993.75
106.8,3993.5
106.795,3994.25
106.79,3994.25
106.795,3989.75
106.8,3989.5
106.81,3991.5
106.8,3991.25
106.805,3991.5
106.795,3990.5
106.82,3990.0
106.8,3991.75
106.805,3991.0
106.82,3991.0
106.855,3990.75
106.84,3992.75
106.87,3991.5
106.865,3993.0
106.87,3992.5
106.87,3993.75
106.865,3992.0
106.875,3992.25
106.88,3992.75
106.88,3993.25
106.88,3991.5
106.88,3992.0
106.88,3991.0
106.89,3987.0
106.885,3989.75
106.88,3988.75
106.885,3988.25
106.885,3989.0
106.89,3990.5
106.885,3991.5
106.9,3990.75
106.915,3989.0
106.915,3988.5
106.935,3986.75
106.92,3988.25
106.925,3988.0
106.95,3989.25
106.955,3988.5
106.955,3989.25
106.96,3988.5
106.99,3989.5
106.99,3989.25
106.995,3989.5
106.995,3990.75
106.955,3992.0
106.945,3990.75
106.925,3992.0
106.905,3993.5
106.905,3993.25
106.935,3993.0
106.915,3991.5
106.935,3994.0
106.935,3992.25
106.92,3990.0
106.93,3990.25
106.925,3989.75
106.955,3989.0
106.945,3991.5
106.955,3992.5
106.985,3992.0
106.975,3991.25
106.965,3991.0
106.975,3992.25
106.965,3991.25
106.975,3991.0
106.965,3990.75
106.955,3990.75
106.97,3991.0
106.98,3991.75
106.98,3990.75
106.96,3990.75
106.96,3991.25
106.97,3992.5
106.985,3993.0
106.97,3993.25
106.985,3995.0
107.05,3993.75
107.065,3994.0
107.03,3994.5
107.02,3994.25
107.025,3994.5
107.045,3994.25
107.05,3994.5
107.065,3994.25
107.055,3995.5
107.06,3995.75
107.065,3995.0
107.06,3995.75
107.055,3996.5
107.09,3996.75
107.075,3997.5
107.06,3996.0
107.045,3997.25
107.05,3997.25
107.03,3997.5
107.015,3997.25
107.0,3996.25
106.985,3996.25
106.965,3996.0
106.97,3995.25
106.96,3995.5
106.95,3994.75
106.945,3994.25
106.935,3994.75
106.935,3994.25
106.935,3993.5
106.935,3994.0
106.97,3995.25
106.98,3995.5
106.99,3995.25
107.0,3995.75
107.0,3995.25
107.0,3994.25
106.995,3994.0
106.985,3994.75
106.975,3994.75
106.985,3994.75
107.03,3995.0
107.01,3995.0
107.02,3995.25
107.02,3994.25
107.025,3993.5
107.02,3992.75
107.02,3993.75
107.06,3993.25
107.055,3993.5
107.06,3995.0
107.06,3996.25
107.065,3996.0
107.07,3996.0
107.085,3996.0
107.14,3995.75
107.13,3995.5
107.145,3994.25
107.155,3994.0
107.15,3995.0
107.15,3994.75
107.12,3993.75
107.11,3993.25
107.115,3993.25
107.1,3994.25
107.115,3994.5
107.08,3994.25
107.065,3994.25
107.08,3994.5
107.09,3994.0
107.085,3996.0
107.085,3995.75
107.065,3996.25
107.105,3996.75
107.115,3997.5
107.115,3997.5
107.09,3997.0
107.1,3995.5
107.115,3994.5
107.125,3993.5
107.125,3994.25
107.12,3995.5
107.125,3996.0
107.145,3996.25
107.135,3996.5
107.155,3995.5
107.135,3994.75
107.14,3996.0
107.165,3995.25
107.17,3995.25
107.175,3994.25
107.17,3995.25
107.18,3995.25
107.165,3994.5
107.155,3995.75
107.17,3996.25
107.165,3996.75
107.165,3997.5
107.18,3997.0
